ID,Text,Comment
Grant.BeaverTaskDisplay.Idle,Idle,Shown when the beaver has no current task.
Grant.BeaverTaskDisplay.TaskPrefix,Task: {0},"Prefix for the task description. {0} is the task name."
Grant.BeaverTaskDisplay.WalkingTo,-> {0},"Prefix for the walking destination. {0} is the destination name."
Grant.BeaverTaskDisplay.Executor.Waiting,Waiting,
Grant.BeaverTaskDisplay.Executor.Building,Building,
Grant.BeaverTaskDisplay.Executor.Demolishing,Demolishing,
Grant.BeaverTaskDisplay.Executor.SatisfyingNeed,Satisfying need,Generic catch-all for need-satisfying actions (eating/drinking/sleeping).
Grant.BeaverTaskDisplay.Executor.Planting,Planting,
Grant.BeaverTaskDisplay.Executor.WalkingTo,Walking to,Used when the beaver is walking toward a reservable or accessible entity.
Grant.BeaverTaskDisplay.Executor.Working,Working,
Grant.BeaverTaskDisplay.Executor.Entering,Entering,Walking into a building.
Grant.BeaverTaskDisplay.Executor.Walking,Walking,Walking to a position with no specific entity destination.
Grant.BeaverTaskDisplay.Executor.Producing,Producing,
Grant.BeaverTaskDisplay.Executor.Harvesting,Harvesting,
